http://m.chinatruck.org/video/41483.html,[2013上海车展]东风商用车吴怀主详解天龙旗舰新品,,[2013上海车展]东风商用车吴怀主详解天龙旗舰新品
a.xcar.com.cn /1337/,MINI,,MINI COUPE
a.xcar.com.cn /337/,MINI,,MINI CLUBMAN
a.xcar.com.cn /693/,MINI,,MINI COUNTRYMAN
a.xcar.com.cn /686/,MINI,,MINI CABRIO
a.xcar.com.cn /336/,MINI,,MINI
car.m.yiche.com /roadster/,MINI,MINI ROADSTER,
car.m.yiche.com /coupe/,MINI,MINI COUPE,
car.m.yiche.com /minicoupe/,MINI,MINI CABRIO,
car.m.yiche.com /paceman/,MINI,MINI PACEMAN,
car.m.yiche.com /minicooper/,MINI,MINI CLUBMAN,
car.m.yiche.com /mini-3297/,MINI,MINI 3-DOOR,
car.m.yiche.com /miniwumenxianbei/,MINI,MINI 5-DOOR,
car.m.yiche.com /countryman/,MINI,MINI COUNTRYMAN,
.autohome.com.cn /3516/,MINI-,MINI Superleggera Vision,
.autohome.com.cn /2276/,MINI-,MINI ROCKETMAN,
.autohome.com.cn /2676/,MINI-,MINI CLUBVAN,
.autohome.com.cn /4152/,MINI-,MINI VISION Next100,
.autohome.com.cn /904/,MINI-,MINI COUPE,
.autohome.com.cn /930/,MINI-,MINI ROADSTER,
.autohome.com.cn /2241/,MINI-,MINI PACEMAN,
.autohome.com.cn /209/,MINI-,MINI,
.autohome.com.cn /749/,MINI-,MINI CLUBMAN,
.autohome.com.cn /750/,MINI-,MINI COUNTRYMAN,
a.xcar.com.cn /2355/,MINI JCW,,MINI JCW COUPE
a.xcar.com.cn /2360/,MINI JCW,,MINI JCW PACEMAN
a.xcar.com.cn /2359/,MINI JCW,,MINI JCW COUNTRYMAN
a.xcar.com.cn /2356/,MINI JCW,,MINI JCW CLUBMAN
a.xcar.com.cn /2354/,MINI JCW,,MINI JCW
.autohome.com.cn /3182/,MINI JCW-,MINI JCW PACEMAN,
.autohome.com.cn /3181/,MINI JCW-,MINI JCW COUNTRYMAN,
.autohome.com.cn /3179/,MINI JCW-,MINI JCW CLUBMAN,
.autohome.com.cn /3178/,MINI JCW-,MINI JCW,
.autohome.com.cn /3180/,MINI JCW-MINI JCW COUPE,MINI JCW COUPE,
.autohome.com.cn /3746/,nanoFLOWCELL-,Quantino,
car.m.yiche.com /noblem600/,Noble,Noble M600,
.autohome.com.cn /2377/,Noble-,Noble M600,
a.xcar.com.cn /1268/,Oullim Motors,,斯派朗
.autohome.com.cn /2254/,Oullim Motors-Spirra思派朗,Spirra思派朗,
car.m.yiche.com /hemera/,PGO,Hemera,
car.m.yiche.com /cevennes/,PGO,CEVENNES,
.autohome.com.cn /3860/,Rezvani-,Beast,
.autohome.com.cn /4037/,Rimac-,Concept One,
.autohome.com.cn /3986/,Rinspeed-,Etos,
.autohome.com.cn /3684/,Rinspeed-,Budii,
.autohome.com.cn /2383/,Scion-,Scion tC,
.autohome.com.cn /2382/,Scion-,Scion xB,
.autohome.com.cn /2590/,Scion-,Scion FR-S,
.autohome.com.cn /3769/,Scion-,Scion iA,
.autohome.com.cn /3660/,Scion-,Scion iM,
.auto.qq.com /car_serial/519/,smart,Smart,smart Fortwo
.auto.qq.com /car_serial/1635/,smart,Smart,smart Forfour
.auto.qq.com /car_serial/1186/,smart,Smart,Smart Forjeremy
a.xcar.com.cn /1931/,smart,,smart forjeremy
a.xcar.com.cn /1940/,smart,,smart fortwo 电动车
a.xcar.com.cn /2517/,smart,,smart forfour
a.xcar.com.cn /566/,smart,,smart fortwo
car.m.yiche.com /forfourhaiwai/,smart,forfour(进口),
car.m.yiche.com /jinglingchunjie/,smart,精灵纯洁(进口),
car.m.yiche.com /jinglingjiezou/,smart,精灵节奏(进口),
car.m.yiche.com /fortwo/,smart,fortwo(进口),
car.m.yiche.com /fortowdiandong/,smart,fortwo 电动,
.autohome.com.cn /2898/,smart-,smart forstars,
.autohome.com.cn /2638/,smart-,smart for-us,
.autohome.com.cn /620/,smart-,smart fortwo,
.autohome.com.cn /3205/,smart-,smart fourjoy,
.autohome.com.cn /2958/,smart-,smart forjeremy,
.autohome.com.cn /1004/,smart-,smart forfour,
.autohome.com.cn /2273/,smart-smart forspeed,smart forspeed,
.autohome.com.cn /2436/,smart-smart forvision,smart forvision,
.autohome.com.cn /2750/,smart-smart roadster,smart roadster,
.autohome.com.cn /3048/,SRT-,大切诺基 SRT,
.autohome.com.cn /3051/,SRT-,克莱斯勒300C SRT,
.autohome.com.cn /573/,SRT-,蝰蛇,
.autohome.com.cn /3050/,SRT-,挑战者 SRT,
.autohome.com.cn /4303/,SRT-,Durango SRT,
.autohome.com.cn /3049/,SRT-,Charger SRT,
.autohome.com.cn /2398/,SSC-,Tuatara,
car.m.yiche.com /lanshengyundong/,STARTECH,揽胜运动,
car.m.yiche.com /weishi/,STARTECH,卫士,
car.m.yiche.com /lanshengjiachangzhouju/,STARTECH,揽胜行政加长版,
car.m.yiche.com /lanshengbiaozhunzhouju/,STARTECH,揽胜行政版,
car.m.yiche.com /siweix5/,SWM斯威汽车,SWM斯威X7,
.autohome.com.cn /4151/,SWM斯威汽车-,SWM斯威X7,
a.xcar.com.cn /1960/,TESLA,,MODEL X
a.xcar.com.cn /1962/,TESLA,,MODEL S
http://www.cvworld.cn/series_326.html,UD,,日产优迪狮
.auto.qq.com /car_serial/1749/,WEY,长城汽车,WEY W01
.auto.qq.com /car_serial/1750/,WEY,长城汽车,WEY W02
a.xcar.com.cn /3428/,WEY,,W01
a.xcar.com.cn /3429/,WEY,,W02
car.m.yiche.com /w01/,WEY,W01,
car.m.yiche.com /w02/,WEY,W02,
.autohome.com.cn /2602/,Zenvo-,Zenvo,
a.xcar.com.cn /3425/,阿尔法·罗密欧,,Stelvio
car.m.yiche.com /giulietta/,阿尔法·罗密欧,阿尔法罗密欧Giulietta,
car.m.yiche.com /aerfa166/,阿尔法·罗密欧,166,
car.m.yiche.com /aerfaluomiougtv/,阿尔法·罗密欧,阿尔法罗密欧Gtv,
car.m.yiche.com /aerfaluomiou4c/,阿尔法·罗密欧,阿尔法·罗密欧4C,
car.m.yiche.com /aerfa156/,阿尔法·罗密欧,156,
.auto.qq.com /car_serial/1736/,阿尔法罗密欧,阿尔法罗密欧,Giulia
.auto.qq.com /car_serial/571/,阿尔法罗密欧,阿尔法罗密欧,ALFA 159
.auto.qq.com /car_serial/572/,阿尔法罗密欧,阿尔法罗密欧,ALFA 8C
.auto.qq.com /car_serial/835/,阿尔法罗密欧,阿尔法罗密欧,Giulietta 
.autohome.com.cn /4196/,阿尔法罗密欧-,Stelvio,
.autohome.com.cn /3825/,阿尔法罗密欧-,Giulia,
.autohome.com.cn /2288/,阿尔法罗密欧-,ALFA 4C,
.autohome.com.cn /1021/,阿尔法罗密欧-,Giulietta,
.autohome.com.cn /3030/,阿尔法罗密欧-,Gloria,
.autohome.com.cn /715/,阿尔法罗密欧-,MiTo,
.autohome.com.cn /2715/,阿尔法罗密欧-,Disco Volante,
.autohome.com.cn /399/,阿尔法罗密欧-ALFA 147,ALFA 147,
.autohome.com.cn /179/,阿尔法罗密欧-ALFA 156,ALFA 156,
.autohome.com.cn /778/,阿尔法罗密欧-ALFA 159,ALFA 159,
.autohome.com.cn /781/,阿尔法罗密欧-ALFA 8C,ALFA 8C,
.autohome.com.cn /401/,阿尔法罗密欧-ALFA GT,ALFA GT,
car.m.yiche.com /kaerman/,阿尔特,卡尔曼,
.auto.qq.com /car_serial/1263/,阿斯顿·马丁,阿斯顿·马丁,拉共达Taraf
.auto.qq.com /car_serial/1633/,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DB11
.auto.qq.com /car_serial/1029/,阿斯顿·马丁,阿斯顿·马丁,Cygnet
.auto.qq.com /car_serial/448/,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DB9
.auto.qq.com /car_serial/449/,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DBS
.auto.qq.com /car_serial/574/,阿斯顿·马丁,阿斯顿·马丁,ONE-77
.auto.qq.com /car_serial/728/,阿斯顿·马丁,阿斯顿·马丁,Rapide
.auto.qq.com /car_serial/1009/,阿斯顿·马丁,阿斯顿·马丁,Vanquish
.auto.qq.com /car_serial/469/,阿斯顿·马丁,阿斯顿·马丁,V8 Vantage
.auto.qq.com /car_serial/832/,阿斯顿·马丁,阿斯顿·马丁,Virage
.auto.qq.com /car_serial/552/,阿斯顿·马丁,阿斯顿·马丁,V12 Vantage
.auto.qq.com /car_serial/1112/,阿斯顿·马丁,阿斯顿·马丁,V12 Zagato
a.xcar.com.cn /1616/,阿斯顿·马丁,,拉共达Taraf
a.xcar.com.cn /342/,阿斯顿·马丁,,DBS
a.xcar.com.cn /1303/,阿斯顿·马丁,,Virage
a.xcar.com.cn /517/,阿斯顿·马丁,,V8 Vantage
a.xcar.com.cn /1617/,阿斯顿·马丁,,Vanquish 
a.xcar.com.cn /1394/,阿斯顿·马丁,,Zagato
a.xcar.com.cn /968/,阿斯顿·马丁,,Rapide
a.xcar.com.cn /938/,阿斯顿·马丁,,V12 Vantage
a.xcar.com.cn /343/,阿斯顿·马丁,,DB9
a.xcar.com.cn /3185/,阿斯顿·马丁,,DB11
car.m.yiche.com /v8vantage/,阿斯顿·马丁,V8 Vantage,
car.m.yiche.com /lagonda/,阿斯顿·马丁,阿斯顿马丁Lagonda,
car.m.yiche.com /vanquish/,阿斯顿·马丁,阿斯顿马丁Vanquish,
car.m.yiche.com /rapide/,阿斯顿·马丁,阿斯顿马丁Rapide,
car.m.yiche.com /asidunmadingdb11/,阿斯顿·马丁,阿斯顿马丁DB11,
car.m.yiche.com /v12vantage/,阿斯顿·马丁,V12 Vantage,
car.m.yiche.com /zagato/,阿斯顿·马丁,阿斯顿马丁Zagato,
car.m.yiche.com /asidunmadingone77/,阿斯顿·马丁,阿斯顿马丁ONE-77,
car.m.yiche.com /db7/,阿斯顿·马丁,阿斯顿马丁DB7,
car.m.yiche.com /virage/,阿斯顿·马丁,阿斯顿马丁Virage,
car.m.yiche.com /asidunmadingdb9/,阿斯顿·马丁,阿斯顿马丁DB9,
car.m.yiche.com /asidunmadingdbs/,阿斯顿·马丁,阿斯顿马丁DBS,
.autohome.com.cn /3742/,阿斯顿·马丁-,阿斯顿·马丁DBX,
.autohome.com.cn /3678/,阿斯顿·马丁-,阿斯顿·马丁DB10,
.autohome.com.cn /4159/,阿斯顿·马丁-,阿斯顿·马丁AM-RB 001,
.autohome.com.cn /3730/,阿斯顿·马丁-,Vulcan,
.autohome.com.cn /2275/,阿斯顿·马丁-,Virage,
.autohome.com.cn /2075/,阿斯顿·马丁-,Cygnet,
.autohome.com.cn /3891/,阿斯顿·马丁-,阿斯顿·马丁DB11,
.autohome.com.cn /386/,阿斯顿·马丁-,Vanquish,
.autohome.com.cn /3004/,阿斯顿·马丁-,阿斯顿·马丁DB5,
.autohome.com.cn /385/,阿斯顿·马丁-,V8 Vantage,
.autohome.com.cn /822/,阿斯顿·马丁-,V12 Vantage,
.autohome.com.cn /884/,阿斯顿·马丁-,拉共达Taraf,
.autohome.com.cn /266/,阿斯顿·马丁-,阿斯顿·马丁DB9,
.autohome.com.cn /923/,阿斯顿·马丁-,Rapide,
.autohome.com.cn /2846/,阿斯顿·马丁-V12 Zagato,V12 Zagato,
.autohome.com.cn /582/,阿斯顿·马丁-阿斯顿·马丁DBS,阿斯顿·马丁DBS,
.autohome.com.cn /729/,阿斯顿·马丁-阿斯顿·马丁One-77,阿斯顿·马丁One,
http://www.cvworld.cn/series_173.html,安凯客车,,安凯客车
.autohome.com.cn /2745/,安凯客车-,宝斯通,
http://www.cvworld.cn/series_181.html,安源客车,,安源客车
http://m.chinatruck.org/product/truck/20011.html,奥驰D3系列,,奥驰D3系列 124马力 3.85米排半栏板轻卡(FD1046W10K)
http://m.chinatruck.org/product/truck/20018.html,奥驰D3系列,,奥驰D3系列 108马力 4.2米单排栏板轻卡(FD1040W10K)(大柴)
http://m.chinatruck.org/product/truck/30007.html,奥驰X2系列,,奥驰X2系列 95马力 4X2 4.2米自卸车(FD3040MD10K4)
http://m.chinatruck.org/product/truck/3221.html,奥驰宏瑞,,奥驰宏瑞  82马力4×2自卸车
http://product.m.360che.com/s26/6711_63_index.html,奥驰汽车,奥驰X系?自卸车,奥驰X系
http://product.m.360che.com/s26/6708_64_index.html,奥驰汽车,奥驰D系?载货车,奥驰D系
http://product.m.360che.com/s26/6667_64_index.html,奥驰汽车,悦菱?载货车,悦菱
http://product.m.360che.com/s26/6709_63_index.html,奥驰汽车,奥驰T系?自卸车,奥驰T系
http://product.m.360che.com/s26/6707_64_index.html,奥驰汽车,奥驰A系?载货车,奥驰A系
http://product.m.360che.com/s26/6710_64_index.html,奥驰汽车,奥驰V系?载货车,奥驰V系
http://product.m.360che.com/s26/6709_64_index.html,奥驰汽车,奥驰T系?载货车,奥驰T系
http://m.chinatruck.org/product/truck/3229.html,奥驰汽车4X2,,奥驰汽车4X2 平板载货车（YN27CRD1发动机）
.auto.qq.com /car_serial/920/,奥迪,进口奥迪,奥迪SQ5
.auto.qq.com /car_serial/1439/,奥迪,进口奥迪,奥迪Q6
.auto.qq.com /car_serial/1592/,奥迪,进口奥迪,奥迪Q2
.auto.qq.com /car_serial/1765/,奥迪,进口奥迪,奥迪Q8
.auto.qq.com /car_serial/566/,奥迪,进口奥迪,奥迪A1
.auto.qq.com /car_serial/965/,奥迪,进口奥迪,奥迪S4
.auto.qq.com /car_serial/213/,奥迪,进口奥迪,奥迪A3(进口)
.auto.qq.com /car_serial/1329/,奥迪,进口奥迪,奥迪S3
.auto.qq.com /car_serial/214/,奥迪,进口奥迪,奥迪A4 Allroad
.auto.qq.com /car_serial/463/,奥迪,进口奥迪,奥迪S5
.auto.qq.com /car_serial/215/,奥迪,进口奥迪,奥迪A5
.auto.qq.com /car_serial/216/,奥迪,进口奥迪,奥迪A6(进口)
.auto.qq.com /car_serial/969/,奥迪,进口奥迪,奥迪S6
.auto.qq.com /car_serial/212/,奥迪,进口奥迪,奥迪A6 Allroad
.auto.qq.com /car_serial/569/,奥迪,进口奥迪,奥迪A7
.auto.qq.com /car_serial/970/,奥迪,进口奥迪,奥迪S7
.auto.qq.com /car_serial/546/,奥迪,进口奥迪,奥迪A8L
.auto.qq.com /car_serial/971/,奥迪,进口奥迪,奥迪S8
.auto.qq.com /car_serial/220/,奥迪,进口奥迪,奥迪TT
.auto.qq.com /car_serial/219/,奥迪,进口奥迪,奥迪R8
.auto.qq.com /car_serial/972/,奥迪,进口奥迪,奥迪TTS
.auto.qq.com /car_serial/852/,奥迪,进口奥迪,奥迪Q3(进口)
.auto.qq.com /car_serial/462/,奥迪,进口奥迪,奥迪Q5(进口)
.auto.qq.com /car_serial/218/,奥迪,进口奥迪,奥迪Q7
.auto.qq.com /car_serial/217/,奥迪,进口奥迪,奥迪A8
.auto.qq.com /car_serial/1206/,奥迪,奥迪Sport,奥迪RS7
.auto.qq.com /car_serial/1590/,奥迪,奥迪Sport,奥迪RS Q3
.auto.qq.com /car_serial/1683/,奥迪,奥迪Sport,奥迪RS6
.auto.qq.com /car_serial/968/,奥迪,奥迪Sport,奥迪RS3
.auto.qq.com /car_serial/1684/,奥迪,奥迪Sport,奥迪TT RS
.auto.qq.com /car_serial/967/,奥迪,奥迪Sport,奥迪RS4
.auto.qq.com /car_serial/966/,奥迪,奥迪Sport,奥迪RS5
.auto.qq.com /car_serial/1099/,奥迪,一汽-大众奥迪,奥迪A3
.auto.qq.com /car_serial/182/,奥迪,一汽-大众奥迪,奥迪A4
.auto.qq.com /car_serial/509/,奥迪,一汽-大众奥迪,奥迪A4L
.auto.qq.com /car_serial/183/,奥迪,一汽-大众奥迪,奥迪A6
.auto.qq.com /car_serial/184/,奥迪,一汽-大众奥迪,奥迪A6L
.auto.qq.com /car_serial/997/,奥迪,一汽-大众奥迪,奥迪Q3
.auto.qq.com /car_serial/733/,奥迪,一汽-大众奥迪,奥迪Q5
car.m.yiche.com /aodiq7/,奥迪,奥迪Q7(进口),
car.m.yiche.com /aodia7/,奥迪,奥迪A7(进口),
car.m.yiche.com /aodis5/,奥迪,奥迪S5(进口),
car.m.yiche.com /aodia6allroad/,奥迪,奥迪A6 allroad,
car.m.yiche.com /aodisq5/,奥迪,奥迪SQ5(进口),
car.m.yiche.com /s4/,奥迪,奥迪S4,
car.m.yiche.com /aodis1jinkou/,奥迪,奥迪S1(进口),
car.m.yiche.com /aodiq2haiwai/,奥迪,奥迪Q2,
car.m.yiche.com /aodia4-2075/,奥迪,奥迪A4(进口),
car.m.yiche.com /q1/,奥迪,奥迪Q1(进口),
car.m.yiche.com /aodiq8/,奥迪,奥迪Q8,
car.m.yiche.com /a3etron/,奥迪,A3 e-tron,
car.m.yiche.com /aodiq3/,奥迪,奥迪Q3(进口),
car.m.yiche.com /aodis6haiwai/,奥迪,奥迪S6(进口),
car.m.yiche.com /aodis7haiwai/,奥迪,奥迪S7(进口),
car.m.yiche.com /aodia6/,奥迪,奥迪A6(进口),
car.m.yiche.com /s3/,奥迪,奥迪S3,
car.m.yiche.com /aodis8/,奥迪,奥迪S8(进口),
car.m.yiche.com /aodia4allroad/,奥迪,奥迪A4 allroad,
car.m.yiche.com /aodia1/,奥迪,奥迪A1(进口),
car.m.yiche.com /aodia3/,奥迪,奥迪A3(进口),
car.m.yiche.com /aodiq5/,奥迪,奥迪Q5(进口),
car.m.yiche.com /aoditt/,奥迪,奥迪TT(进口),
car.m.yiche.com /aodir8/,奥迪,奥迪R8(进口),
car.m.yiche.com /aodia5/,奥迪,奥迪A5(进口),
